0,1
hypertensive disease,pain chest
,shortness of breath
,dizziness
,asthenia
,fall
,syncope
,vertigo
,sweat
,palpitation
,nausea
,angina pectoris
,pressure chest
diabetes,polyuria
,polydypsia
,shortness of breath
,pain chest
,asthenia
,nausea
,orthopnea
,rale
,sweat
,unresponsiveness
,mental status changes
,vertigo
,vomiting
,labored breathing
depression mental,feeling suicidal
,suicidal
,hallucinations auditory
,feeling hopeless
,weepiness
,sleeplessness
,motor retardation
,irritable mood
,blackout
,mood depressed
,hallucinations visual
,worry
,agitation
,tremor
,intoxication
,verbal auditory hallucinations
,energy increased
,difficulty
,nightmare
,unable to concentrate
,homelessness
coronary arteriosclerosis,pain chest
,angina pectoris
,shortness of breath
,hypokinesia
,sweat
,pressure chest
,dyspnea on exertion
,orthopnea
,chest tightness
pneumonia,cough
,fever
,decreased translucency
,shortness of breath
,rale
,productive cough
,pleuritic pain
,yellow sputum
,breath sounds decreased
,chill
,rhonchus
,green sputum
,non-productive cough
,wheezing
,haemoptysis
,distress respiratory
,tachypnea
,malaise
,night sweat
failure heart congestive,shortness of breath
,orthopnea
,jugular venous distention
,rale
,dyspnea
,cough
,wheezing
accident cerebrovascular,dysarthria
,asthenia
,speech slurred
,facial paresis
,hemiplegia
,unresponsiveness
,seizure
,numbness
asthma,wheezing
,cough
,shortness of breath
,chest tightness
,non-productive cough
,pleuritic pain
,productive cough
,symptom aggravating factors
,distress respiratory
myocardial infarction,pain chest
,st segment elevation
,sweat
,shortness of breath
,st segment depression
,hypokinesia
,angina pectoris
,pressure chest
,t wave inverted
,orthopnea
,rale
,chest tightness
,presence of q wave
,palpitation
,dyspnea
,chest discomfort
,bradycardia
,syncope
hypercholesterolemia,pain
,pain chest
,sweat
,nonsmoker
,pressure chest
,syncope
,numbness
,chest discomfort
,shortness of breath
,st segment depression
,worry
,t wave inverted
,bradycardia
,dyspnea
infection,fever
,erythema
,decreased translucency
,hepatosplenomegaly
,chill
,pruritus
,diarrhea
,abscess bacterial
,swelling
,pain
,apyrexial
,cough
infection urinary tract,fever
,dysuria
,hematuria
,renal angle tenderness
,lethargy
,asthenia
,hyponatremia
,hemodynamically stable
,distress respiratory
,difficulty passing urine
,mental status changes
,consciousness clear
anemia,chill
,guaiac positive
,monoclonal
,ecchymosis
,tumor cell invasion
,haemorrhage
,pallor
,asthenia
,fatigue
,heme positive
,pain back
,orthostasis
,hyponatremia
,dizziness
,shortness of breath
,pain
,rhonchus
,arthralgia
,swelling
,transaminitis
chronic obstructive airway disease,shortness of breath
,wheezing
,cough
,dyspnea
,distress respiratory
,sputum purulent
,hypoxemia
,hypercapnia
,patient non compliance
,chest tightness
dementia,fever
,fall
,unresponsiveness
,lethargy
,agitation
,ecchymosis
,syncope
,rale
,unconscious state
,cough
,bedridden
,pain
,facial paresis
,abdominal tenderness
,rhonchus
,unsteady gait
,hallucinations auditory
insufficiency renal,shortness of breath
,hyperkalemia
,orthopnea
,rale
,urgency of micturition
,ascites
,guaiac positive
,asthenia
,apyrexial
,mental status changes
,dyspnea
,difficulty
,diarrhea
,hypotension
,breath sounds decreased
,swelling
,hypokinesia
confusion,seizure
,enuresis
,lethargy
,speech slurred
,fall
,consciousness clear
,mental status changes
,asterixis
,unconscious state
,agitation
,muscle twitch
,asthenia
,sleepy
,dizziness
,headache
,dysarthria
,lightheadedness
,tremor
,hyponatremia
,unresponsiveness
degenerative polyarthritis,pain
,food intolerance
,numbness of hand
,general discomfort
,drowsiness
,asthenia
,nonsmoker
,non-productive cough
,polydypsia
,stiffness
,unsteady gait
hypothyroidism,shortness of breath
,prostatism
,drowsiness
,hyponatremia
,fall
,unsteady gait
,polyuria
,hypotension
,difficulty
,syncope
,nightmare
,speech slurred
,weight gain
,asthenia
,fatigue
,agitation
,mental status changes
,motor retardation
,vomiting
,numbness
,mass of body structure
anxiety state,worry
,feeling suicidal
,suicidal
,sleeplessness
,feeling hopeless
,irritable mood
,tremor
,blackout
,weepiness
,has religious belief
,nervousness
,hallucinations visual
,formication
,difficulty
,pain chest
,patient non compliance
,agitation
,palpitation
,hallucinations auditory
,mood depressed
,hot flush
,pain
,consciousness clear
,nightmare
malignant neoplasms,pain
,mass of body structure
,lesion
,cushingoid facies
,emphysematous change
,decreased body weight
,ascites
,hoarseness
,thicken
,hematuria
acquired immuno-deficiency syndrome,fever
,night sweat
,spontaneous rupture of membranes
,cough
,
,decreased body weight
,chill
,diarrhea
,pleuritic pain
,patient non compliance
,tachypnea
,productive cough
,muscle hypotonia
,feeling suicidal
cellulitis,erythema
,pain
,swelling
,redness
,fever
,abscess bacterial
,patient non compliance
,hypesthesia
,hyperacusis
,pruritus
,pain chest
,scratch marks
,chill
,sore to touch
gastroesophageal reflux disease,pain
,pain chest
,burning sensation
,hyponatremia
,satiety early
,throbbing sensation quality
,chest tightness
,sensory discomfort
,presence of q wave
,nausea
,general discomfort
,constipation
,palpitation
,pain abdominal
,heartburn
,sweat
,asthenia
septicemia,fever
,distress respiratory
,hypotension
,tachypnea
,chill
,lethargy
,bradycardia
,breech presentation
,cyanosis
,spontaneous rupture of membranes
,haemorrhage
,unresponsiveness
,rale
,apyrexial
deep vein thrombosis,swelling
,pain
,ecchymosis
,shortness of breath
,pain in lower limb
,cardiomegaly
,rale
,erythema
,hypotension
,clonus
,non-productive cough
,redness
dehydration,fever
,diarrhea
,vomiting
,hypotension
,nausea
,lightheadedness
,unwell
,mental status changes
,anorexia
,asthenia
,sensory discomfort
,syncope
,lethargy
,dizziness
,syncope
neoplasm,mass of body structure
,lesion
,pain chest
,hematuria
,tumor cell invasion
,pain
,anosmia
,thicken
,metastatic lesion
,food intolerance
,decreased body weight
,night sweat
,hemianopsia homonymous
,satiety early
,pain abdominal
,headache
embolism pulmonary,shortness of breath
,hypoxemia
,tachypnea
,hematocrit decreased
,pain chest
,dyspnea
,pleuritic pain
,neck stiffness
,yellow sputum
,productive cough
,cicatrisation
,unresponsiveness
,distress respiratory
,wheezing
,apyrexial
,non-productive cough
epilepsy,seizure
,hypometabolism
,aura
,muscle twitch
,drowsiness
,tremor
,unresponsiveness
,hemiplegia
,myoclonus
,gurgle
,sleepy
,lethargy
,wheelchair bound
cardiomyopathy,shortness of breath
,orthopnea
,hypokinesia
,jugular venous distention
,palpitation
,pain chest
,syncope
,yellow sputum
,rale
,dyspnea
,dyspnea on exertion
,left atrial hypertrophy
,fatigue
,weight gain
,patient non compliance
chronic kidney failure,vomiting
,orthopnea
,hyperkalemia
,oliguria
,jugular venous distention
,nausea
,shortness of breath
,mental status changes
,diarrhea
,asthenia
,chest tightness
,malaise
,chill
,rale
,fever
,pleuritic pain
,apyrexial
,guaiac positive
,swelling
,catatonia
,unresponsiveness
,yellow sputum
carcinoma,mass of body structure
,pain
,lesion
,tumor cell invasion
,thicken
,decreased body weight
,hoarseness
,general discomfort
,metastatic lesion
,non-productive cough
,constipation
,unhappy
,paresthesia
,gravida 0
,diarrhea
,sore to touch
,heartburn
,nausea
,lung nodule
hepatitis C,ascites
,distended abdomen
,feeling suicidal
,cough
,ache
,macerated skin
,heavy feeling
,hallucinations auditory
,chill
,asterixis
,patient non compliance
peripheral vascular disease,shortness of breath
,rest pain
,angina pectoris
,unresponsiveness
,hyperkalemia
,sinus rhythm
,labored breathing
,dyspnea
,sore to touch
,anorexia
,sleepy
psychotic disorder,suicidal
,hallucinations auditory
,feeling suicidal
,hallucinations visual
,motor retardation
,blackout
,verbal auditory hallucinations
,feeling hopeless
,irritable mood
,agitation
,tremor
,catatonia
,weepiness
,homelessness
,sleeplessness
,withdraw
,energy increased
,intoxication
,worry
,behavior hyperactive
,patient non compliance
,mood depressed
,terrify
,nightmare
,consciousness clear
hyperlipidemia,pain chest
,angina pectoris
,palpitation
,presence of q wave
,photopsia
,sweat
,chest discomfort
,shortness of breath
,giddy mood
,hypokinesia
,hemiplegia
,dizziness
bipolar disorder,feeling suicidal
,energy increased
,suicidal
,irritable mood
,agitation
,has religious belief
,disturbed family
,hallucinations auditory
,verbal auditory hallucinations
,weepiness
,behavior hyperactive
,catatonia
,feeling hopeless
,worry
,sleeplessness
,hypersomnia
,difficulty
,hallucinations visual
,hyperhidrosis disorder
,mydriasis
,extrapyramidal sign
,loose associations
,intoxication
,motor retardation
,homelessness
,blackout
,tremor
,exhaustion
obesity,pain
,catatonia
,snore
,pain chest
,r wave feature
,has religious belief
,shortness of breath
,fatigue
,overweight
,systolic murmur
,mood depressed
,ecchymosis
ischemia,drowsiness
,pain chest
,angina pectoris
,pressure chest
,chest discomfort
,shortness of breath
,dyspnea
,sinus rhythm
,bradycardia
,sweat
,rale
,asymptomatic
,anorexia
cirrhosis,ascites
,fall
,splenomegaly
,pruritus
,pain abdominal
,tumor cell invasion
,distended abdomen
,lesion
,hemodynamically stable
,guaiac positive
,sore to touch
,bleeding of vagina
exanthema,fever
,pruritus
,macule
,lesion
,redness
,headache
,apyrexial
,arthralgia
,swelling
,erythema
,photophobia
,chill
,scratch marks
,pain
,painful swallowing
benign prostatic hypertrophy,mental status changes
,cachexia
,blackout
,orthostasis
,orthopnea
,night sweat
,distress respiratory
,anorexia
,dysarthria
kidney failure acute,hyperkalemia
,hypotension
,hypocalcemia result
,oliguria
,hemodynamically stable
,asthenia
,"hypothermia, natural"
,diarrhea
,haemorrhage
,unresponsiveness
mitral valve insufficiency,shortness of breath
,dyspnea on exertion
,asymptomatic
,hypokinesia
,dyspnea
,syncope
,thicken
,left atrial hypertrophy
,palpitation
,fatigue
,vomiting
,pain
,cardiomegaly
,chest discomfort
arthritis,pain
,hemodynamically stable
,sleeplessness
,asthenia
,syncope
,swelling
,atypia
,general unsteadiness
,shortness of breath
,distended abdomen
bronchitis,cough
,wheezing
,shortness of breath
,chest tightness
,fever
,throat sore
,productive cough
,hepatosplenomegaly
,night sweat
,haemoptysis
,labored breathing
,snuffle
,hacking cough
,dyspnea
,chill
,stridor
,decreased body weight
hemiparesis,dysarthria
,paresis
,asthenia
,aphagia
,seizure
,speech slurred
,focal seizures
,hemiplegia
,abnormal sensation
,unresponsiveness
,stupor
,drowsiness
,fremitus
,Stahli's line
,stinging sensation
,paralyse
,clonus
,facial paresis
osteoporosis,prostatism
,fall
,hirsutism
,sniffle
,distended abdomen
,vertigo
,numbness of hand
,bradykinesia
,pain
,syncope
,out of breath
,apyrexial
,urge incontinence
,lightheadedness
transient ischemic attack,speech slurred
,dysarthria
,facial paresis
,asthenia
,neck stiffness
,vertigo
,numbness
,lightheadedness
,extrapyramidal sign
,Stahli's line
,vision blurred
,headache
,room spinning
,syncope
,difficulty
,rambling speech
,clumsiness
adenocarcinoma,mass of body structure
,lesion
,decreased body weight
,constipation
,fremitus
,decreased stool caliber
,satiety early
,hematochezia
,egophony
,pain
,cicatrisation
,pain abdominal
paranoia,hallucinations auditory
,hallucinations visual
,agitation
,irritable mood
,verbal auditory hallucinations
,feeling suicidal
,suicidal
,terrify
,neologism
,homelessness
,energy increased
,mood depressed
,decompensation
,cicatrisation
,blackout
,loose associations
pancreatitis,vomiting
,pain abdominal
,nausea
,pain
,diarrhea
,stool color yellow
,rigor - temperature-associated observation
,apyrexial
,sore to touch
incontinence,paraparesis
,seizure
,asthenia
,urge incontinence
,unconscious state
,aura
,moody
,fear of falling
,tremor
,spasm
,unhappy
,syncope
,fall
,stiffness
,unresponsiveness
paroxysmal dyspnea,orthopnea
,shortness of breath
,dyspnea on exertion
,jugular venous distention
,rale
,pain chest
,palpitation
,sweat
,weight gain
,cough
,dyspnea
hernia,pain abdominal
,pain
,hyperventilation
,excruciating pain
,gag
,nausea
,posturing
,hemiplegia
,sore to touch
,haemorrhage
,apyrexial
,food intolerance
,pulse absent
,asthenia
,mass of body structure
,thicken
malignant neoplasm of prostate,hematuria
,dysesthesia
,asthenia
,polymyalgia
,passed stones
,pleuritic pain
,guaiac positive
,rale
,breath sounds decreased
,urge incontinence
,dysuria
,diarrhea
,vertigo
,qt interval prolonged
,ataxia
,paresis
,hemianopsia homonymous
,tumor cell invasion
,hemodynamically stable
,mass of body structure
,rhonchus
,orthostasis
,decreased body weight
edema pulmonary,urgency of micturition
,shortness of breath
,rale
,tachypnea
,orthopnea
,Heberden's node
,jugular venous distention
,dyspnea
,sweat
,patient non compliance
,chest discomfort
,hyperkalemia
,sinus rhythm
,pain chest
,hypotension
,wheezing
lymphatic diseases,pain
,mass of body structure
,night sweat
,splenomegaly
,lesion
,chill
,decreased body weight
,swelling
,fever
,hyperacusis
,fremitus
,non-productive cough
,egophony
,redness
,hepatomegaly
,fatigue
stenosis aortic valve,dyspnea on exertion
,syncope
,chest discomfort
,systolic murmur
,sciatica
,angina pectoris
,pain chest
,frothy sputum
,bradycardia
,shortness of breath
,pain
malignant neoplasm of breast,mass in breast
,mass of body structure
,paresthesia
,retropulsion
,erythema
,difficulty
,lesion
,estrogen use
,burning sensation
,dyspnea
,swelling
,formication
schizophrenia,hallucinations auditory
,hypersomnolence
,irritable mood
,verbal auditory hallucinations
,patient non compliance
,agitation
,suicidal
,worry
,hallucinations visual
,underweight
,homelessness
diverticulitis,pain abdominal
,abscess bacterial
,dullness
,red blotches
,diarrhea
,sore to touch
,dysuria
,pain
,vomiting
,sinus rhythm
,colic abdominal
,apyrexial
,abdominal tenderness
,fever
,unsteady gait
,thicken
,urgency of micturition
,anorexia
,monoclonal
,constipation
overload fluid,rale
,jugular venous distention
,hyperkalemia
,orthopnea
,shortness of breath
,drowsiness
,weight gain
,hypokalemia
,hypotension
,swelling
,distended abdomen
ulcer peptic,pain abdominal
,paraparesis
,nausea
,vomiting
,polymyalgia
,out of breath
,pain chest
,hemiplegia
,gurgle
,hunger
,apyrexial
,nervousness
osteomyelitis,pain
,redness
,prostate tender
,fever
,difficulty passing urine
,sore to touch
,swelling
,apyrexial
,erythema
,abscess bacterial
,pain foot
,urinary hesitation
gastritis,heme positive
,pain abdominal
,vomiting
,disequilibrium
,nausea
,intoxication
,haemorrhage
,guaiac positive
,pain
,decreased body weight
,sore to touch
,dizziness
bacteremia,fever
,chill
,flushing
,unresponsiveness
,indifferent mood
,urinoma
,vomiting
,distended abdomen
,hypoalbuminemia
,pustule
,prostatism
,diarrhea
,abdominal tenderness
,pleuritic pain
,decreased translucency
,pallor
failure kidney,orthopnea
,oliguria
,slowing of urinary stream
,extreme exhaustion
,unresponsiveness
,hypotension
,enuresis
,shortness of breath
,haemorrhage
,prostatism
,no status change
,bedridden
,fatigue
sickle cell anemia,breakthrough pain
,pain back
,pain
,shortness of breath
,snuffle
,pain chest
,pain abdominal
,hepatosplenomegaly
,green sputum
,apyrexial
,headache
failure heart,orthopnea
,fatigue
,dyspnea on exertion
,dyspnea
,shortness of breath
,pansystolic murmur
,jugular venous distention
,systolic ejection murmur
,hypotension
,angina pectoris
,hypokinesia
upper respiratory infection,cough
,throat sore
,wheezing
,shortness of breath
,labored breathing
,fever
,stuffy nose
,non-productive cough
,snuffle
,indifferent mood
,egophony
,barking cough
,polymyalgia
,pleuritic pain
,night sweat
,dyspnea
,productive cough
,decreased translucency
,rhonchus
,rapid shallow breathing
,apyrexial
,noisy respiration
,nasal discharge present
,emphysematous change
,frail
,cystic lesion
,symptom aggravating factors
,hemodynamically stable
hepatitis,ascites
,spontaneous rupture of membranes
,tachypnea
,pain abdominal
,pruritus
,anorexia
,transaminitis
,projectile vomiting
,chill
,distress respiratory
,fever
,vomiting
hypertension pulmonary,shortness of breath
,Stahli's line
,heavy legs
,breath sounds decreased
,neck stiffness
,dyspnea on exertion
,cyanosis
,hypotension
,left atrial hypertrophy
deglutition disorder,paresthesia
,titubation
,dysarthria
,painful swallowing
,hoarseness
,stridor
,spasm
,asthenia
,dysdiadochokinesia
,ataxia
,achalasia
,decreased body weight
,stiffness
,lesion
,side pain
gout,hot flush
,pain
,redness
,swelling
,erythema
,emphysematous change
,sore to touch
,hypokinesia
,ascites
,patient non compliance
thrombocytopaenia,ecchymosis
,monocytosis
,posterior rhinorrhea
,haemorrhage
,tachypnea
,fever
,pruritus
,hypotension
,fatigue
hypoglycemia,unresponsiveness
,"hypothermia, natural"
,incoherent
,qt interval prolonged
,lameness
,unconscious state
,clammy skin
,polyuria
,distress respiratory
,hypotension
pneumonia aspiration,mediastinal shift
,fever
,clonus
,mental status changes
,decreased translucency
,unresponsiveness
,extreme exhaustion
,stupor
,seizure
,transaminitis
,hemiplegia
,cough
,gurgle
,pain
,diarrhea
,pain abdominal
colitis,fever
,thicken
,green sputum
,vomiting
,nausea and vomiting
,awakening early
,pain
,nausea
,chill
,tenesmus
,urge incontinence
,pain abdominal
,hemodynamically stable
diverticulosis,fecaluria
,constipation
,abscess bacterial
,heme positive
,lightheadedness
,diarrhea
,haemorrhage
,pain
,projectile vomiting
,pneumatouria
,cystic lesion
,anorexia
,nausea
,feeling suicidal
,feeling hopeless
suicide attempt,hallucinations auditory
,sleeplessness
,suicidal
,motor retardation
,weepiness
,unable to concentrate
,todd paralysis
,worry
,fatigue
,tremor
,alcoholic withdrawal symptoms
,agitation
,unresponsiveness
,blackout
,withdraw
,difficulty
,irritable mood
,sensory discomfort
,drowsiness
,formication
,unconscious state
,fever
,cough
Pneumocystis carinii pneumonia,yellow sputum
,cachexia
,chill
,decreased body weight
,productive cough
,myalgia
,diarrhea
,neck stiffness
,hacking cough
,dyspareunia
,hypokalemia
,dyspnea on exertion
,poor dentition
,transaminitis
,non-productive cough
,headache
,floppy
,spontaneous rupture of membranes
hepatitis B,inappropriate affect
,tachypnea
,yellow sputum
,projectile vomiting
,poor feeding
,pain abdominal
,abdominal tenderness
,wheelchair bound
,moan
parkinson disease,achalasia
,fall
,stiffness
,withdraw
,agitation
,hemiplegia
,difficulty
,unresponsiveness
,syncope
,facial paresis
,orthostasis
,worry
,drowsiness
,hematuria
,tremor
,night sweat
,mass of body structure
lymphoma,lesion
,fever
,welt
,transaminitis
,decreased body weight
,ataxia
,tinnitus
,hydropneumothorax
,superimposition
,haemoptysis
,fatigue
,polydypsia
,difficulty passing urine
hyperglycemia,sore to touch
,pruritus
,feeling strange
,pustule
,cushingoid facies
,decreased body weight
,mood depressed
,estrogen use
,wheezing
,ascites
,seizure
encephalopathy,uncoordination
,asterixis
,haemorrhage
,drowsiness
,absences finding
,posturing
,aura
,tonic seizures
,debilitation
,consciousness clear
,unresponsiveness
,thicken
,hypokinesia
tricuspid valve insufficiency,shortness of breath
,pain
,vomiting
,nausea
,bradycardia
,pain abdominal
,fever
,cicatrisation
,mediastinal shift
,impaired cognition
Alzheimer's disease,drool
,agitation
,nightmare
,rhonchus
,consciousness clear
,pin-point pupils
,bedridden
,frail
,tremor resting
,hyperkalemia
,facial paresis
,groggy
,muscle twitch
,wheelchair bound
,tremor
,cough
,fever
candidiasis,diarrhea
,throat sore
,decreased body weight
,chill
,headache
,abdominal tenderness
,patient non compliance
,photophobia
,night sweat
,painful swallowing
,poor dentition
,transaminitis
,non-productive cough
,adverse reaction
,abdominal bloating
neuropathy,asthenia
,numbness
,nausea and vomiting
,awakening early
,hydropneumothorax
,superimposition
,fatigability
,tenesmus
,pain
,slowing of urinary stream
kidney disease,shortness of breath
,hyperkalemia
,pain chest
,fever
,gravida 0
,bleeding of vagina
fibroid tumor,para 2
,haemorrhage
,abortion
,intermenstrual heavy bleeding
,muscle hypotonia
,previous pregnancies 2
,shortness of breath
,fever
,heartburn
,primigravida
,abnormally hard consistency
,proteinemia
glaucoma,fall
,distended abdomen
,unsteady gait
,paresthesia
,hyponatremia
,agitation
,unconscious state
,burning sensation
,lesion
,mass of body structure
neoplasm metastasis,thicken
,tumor cell invasion
,metastatic lesion
,pain neck
,lung nodule
,pain
,pain abdominal
,food intolerance
,mass of body structure
,atypia
malignant tumor of colon,lesion
,prostatism
,constipation
,general discomfort
,diarrhea
,pain abdominal
,urinary hesitation
,dizzy spells
,shooting pain
,bradycardia
,vomiting
,systolic ejection murmur
,nausea
,hyperemesis
,polydypsia
ketoacidosis diabetic,polyuria
,vomiting
,nausea
,pain abdominal
,milky
,feeling strange
,gurgle
,nervousness
,abdominal tenderness
,regurgitates after swallowing
,vision blurred
,urinary hesitation
,diarrhea
,seizure
,aura
tonic-clonic epilepsy,drowsiness
,lip smacking
,myoclonus
,tremor
,phonophobia
,rolling of eyes
,sleepy
,hirsutism
,moody
,muscle twitch
,unresponsiveness
,headache
,ambidexterity
,absences finding
,spasm
,decreased body weight
,tumor cell invasion
malignant neoplasms,pulsus paradoxus
,gravida 10
,mass of body structure
,lesion
,heartburn
,night sweat
,thicken
,chill
,decreased translucency
,pain abdominal
,dullness
,food intolerance
,distress respiratory
,hypotension
respiratory failure,hemiplegia
,snore
,unresponsiveness
,productive cough
,dyspnea
,tachypnea
,hyperkalemia
,hypokinesia
,sinus rhythm
,general unsteadiness
,bruit
,consciousness clear
,shortness of breath
,lesion
,redness
melanoma,mass of body structure
,paraparesis
,fever
,gravida 0
,pain
,pruritus
,mass in breast
,vomiting
,diarrhea
gastroenteritis,pain abdominal
,breath-holding spell
,nausea
,decreased body weight
,sore to touch
,scleral icterus
,fever
,myalgia
,hyponatremia
,retch
,mass of body structure
,decreased body weight
malignant neoplasm of lung,lesion
,cough
,lung nodule
,shortness of breath
,haemoptysis
,debilitation
,gurgle
,ache
,rale
,night sweat
,decreased translucency
,asthenia
,metastatic lesion
,agitation
,irritable mood
manic disorder,energy increased
,suicidal
,hypersomnia
,feeling suicidal
,blanch
,hallucinations auditory
,hallucinations visual
,elation
,verbal auditory hallucinations
,feeling hopeless
,difficulty
,decompensation
,verbally abusive behavior
,suicidal
,feeling suicidal
personality disorder,nightmare
,feeling hopeless
,transsexual
,hallucinations auditory
,irritable mood
,sleeplessness
,agitation
,weepiness
,mood depressed
,scratch marks
,nausea and vomiting
,extreme exhaustion
,side pain
,worry
,enuresis
,homelessness
,nervousness
,ascites
,pruritus
primary carcinoma of the liver cells,mass of body structure
,splenomegaly
,lesion
,paresis
,tumor cell invasion
,room spinning
,haemorrhage
,thicken
,indifferent mood
,cachexia
,"hypothermia, natural"
,pain abdominal
,hepatomegaly
,hematocrit decreased
,stupor
,decreased body weight
,shortness of breath
,cough
emphysema pulmonary,behavior showing increased motor activity
,scar tissue
,dyspnea on exertion
,coordination abnormal
,myalgia
,hypercapnia
,clammy skin
,has religious belief
,room spinning
,moan
,night sweat
,cachexia
,symptom aggravating factors
,dyspnea
,rale
,flushing
,painful swallowing
,arthralgia
,choke
,tenesmus
,constipation
hemorrhoids,haemorrhage
,bowel sounds decreased
,decreased stool caliber
,nausea and vomiting
,hunger
,diarrhea
,dizziness
,hyponatremia
,clonus
,pain
,achalasia
,burning sensation
,guaiac positive
,numbness of hand
,wheezing
,cough
spasm bronchial,shortness of breath
,scar tissue
,apyrexial
,no known drug allergies
,pain
,productive cough
,throat sore
,dyspnea
,chest tightness
,hypoxemia
,tachypnea
,sensory discomfort
,fever
,vomiting
,rhonchus
,hemiplegia
,fremitus
aphasia,clonus
,egophony
,facial paresis
,aphagia
,muscle twitch
,paralyse
,low back pain
,charleyhorse
obesity morbid,out of breath
,sedentary
,angina pectoris
,cough
,unhappy
,labored breathing
,"hypothermia, natural"
,dyspnea
,hematocrit decreased
,wheezing
,hypoxemia
,renal angle tenderness
,feels hot/feverish
pyelonephritis,fever
,pain
,urgency of micturition
,hematuria
,vomiting
,chill
,diarrhea
,nausea
,pain abdominal
,myalgia
,fever
,chill
endocarditis,pleuritic pain
,thicken
,myalgia
,apyrexial
,night sweat
,flare
,shortness of breath
,orthopnea
,abscess bacterial
,hypotension
,cough
,metastatic lesion
,breath sounds decreased
,decreased body weight
,
,pulsus paradoxus
,hypokinesia
effusion pericardial,pericardial friction rub
,dyspnea
,shortness of breath
,hemodynamically stable
,cardiomegaly
,hypotension
,sputum purulent
,facial paresis
,pain
,oliguria
,blackout
,intoxication
chronic alcoholic intoxication,tremor
,hallucinations auditory
,suicidal
,hoard
,irritable mood
,feeling hopeless
,feeling suicidal
,neologism
,seizure
,homelessness
,sleeplessness
,unconscious state
,panic
,breath sounds decreased
,shortness of breath
pneumothorax,dyspnea
,cardiovascular finding
,haemoptysis
,cough
,hypercapnia
,soft tissue swelling
,prostatism
,agitation
delirium,unsteady gait
,withdraw
,hyponatremia
,verbally abusive behavior
,feeling suicidal
,unresponsiveness
,worry
,drowsiness
,hallucinations auditory
,suicidal
,fever
,diarrhea
neutropenia,transaminitis
,splenomegaly
,night sweat
,apyrexial
,lesion
,snuffle
,chill
,cough
,monoclonal
,hypocalcemia result
,oliguria
,rhd positive
,distress respiratory
hyperbilirubinemia,cyanosis
,tachypnea
,para 1
,bradycardia
,breech presentation
,cushingoid facies
,cough
,myalgia
influenza,uncoordination
,fever
,pleuritic pain
,snuffle
,throat sore
,malaise
,debilitation
,symptom aggravating factors
,chill
,scleral icterus
,nasal flaring
,dysuria
,lip smacking
,headache
,sneeze
,snore
,green sputum
,shortness of breath
,distress respiratory
,blackout
,extreme exhaustion
dependence,intoxication
,tremor
,agitation
,suicidal
,homelessness
,prostatism
,lethargy
,seizure
,muscle twitch
,stuffy nose
,feeling hopeless
,heavy legs
,rale
thrombus,hypokinesia
,anorexia
,hypertonicity
,shortness of breath
,hypoalbuminemia
,pruritus
,sore to touch
,hemodynamically stable
,facial paresis
,vomiting
,stool color yellow
cholecystitis,moan
,nausea
,pain abdominal
,Murphy's sign
,flatulence
,colic abdominal
,pain
,ascites
,diarrhea
,qt interval prolonged
,cardiovascular finding
,groggy
,sinus rhythm
,gasping for breath
,constipation
,feces in rectum
,abnormally hard consistency
hernia hiatal,pain abdominal
,fatigability
,prodrome
,vomiting
,nausea
,myalgia
,hyponatremia
,sore to touch
,general discomfort
,dyspnea on exertion
,asterixis
,guaiac positive
,numbness of hand
,headache
,photophobia
migraine disorders,ambidexterity
,vomiting
,dizziness
,numbness
,nausea
,fever
,splenomegaly
pancytopenia,hypoproteinemia
,fatigue
,haemorrhage
,fatigability
,cushingoid facies
,stool color yellow
,colic abdominal
cholelithiasis,vomiting
,nausea
,pain abdominal
,pain
,cushingoid facies
,ascites
,thicken
,sore to touch
,diarrhea
,apyrexial
,palpitation
tachycardia sinus,left atrial hypertrophy
,sweat
,alcohol binge episode
,pressure chest
,scar tissue
,cardiovascular finding
,orthostasis
,shortness of breath
,t wave inverted
,vomiting
,pain abdominal
ileus,abscess bacterial
,abdomen acute
,air fluid level
,catching breath
,abdominal tenderness
,nausea
,sore to touch
,flatulence
,diarrhea
,mass of body structure
,apyrexial
,constipation
,thicken
,gravida 0
,pain abdominal
adhesion,flatulence
,pain
,large-for-dates fetus
,para 1
,vomiting
,lung nodule
,breech presentation
,shortness of breath
,decreased body weight
,immobile
,unsteady gait
,hallucinations visual
,feeling suicidal
delusion,loose associations
,giddy mood
,feeling hopeless
,agitation
,hallucinations auditory
,irritable mood
,sleeplessness
,neologism
,homicidal thoughts
,disturbed family
,worry
,decompensation
,verbally abusive behavior
,catatonia
,suicidal
,terrify
,blackout
,weepiness
,impaired cognition
,irritable mood
,agitation
affect labile,extreme exhaustion
,sleeplessness
,enuresis
,patient non compliance
,feeling hopeless
,hallucinations visual
,bedridden
,prostatism
decubitus ulcer,systolic murmur
,frail
,fever
,
